b1,b2,b3,b4,label
96.75,86.25,87.75,79.5,0
96.75,86.25,87.0,79.5,0
96.75,86.25,87.0,79.5,0
96.75,86.25,87.75,79.5,0
96.0,86.25,87.75,79.5,0
96.75,87.0,87.75,79.5,0
96.0,86.25,87.75,79.5,0
96.75,86.25,87.0,79.5,0
96.0,86.25,87.75,79.5,0
97.5,86.25,87.75,79.5,0
96.75,87.0,88.5,81.0,0
96.75,86.25,87.0,79.5,0
96.0,86.25,87.0,79.5,0
96.0,86.25,86.25,79.5,0
96.0,86.25,87.0,79.5,0
96.0,86.25,87.0,79.5,0
96.0,85.5,87.0,79.5,0
97.5,87.0,87.75,80.25,0
96.75,86.25,87.75,80.25,0
96.75,86.25,87.75,80.25,0
96.75,86.25,87.0,79.5,0
98.25,87.75,87.75,78.75,0
96.75,87.0,87.75,79.5,0
96.75,87.0,87.75,78.75,0
96.75,87.0,87.75,78.75,0
96.0,86.25,87.75,80.25,0
96.0,85.5,87.0,80.25,0
96.0,85.5,86.25,79.5,0
96.0,86.25,87.0,80.25,0
96.75,86.25,86.25,78.75,0
98.25,87.0,87.75,79.5,0
97.5,86.25,87.0,78.0,0
96.0,85.5,87.0,80.25,0
97.5,86.25,87.0,79.5,0
96.0,85.5,87.0,78.75,0
96.75,87.0,87.0,79.5,0
96.75,85.5,86.25,79.5,0
96.75,86.25,87.0,80.25,0
96.75,86.25,87.75,79.5,0
96.75,87.0,87.75,79.5,0
90.75,79.5,78.0,76.5,0
90.75,80.25,78.0,77.25,0
90.0,79.5,76.5,78.0,0
91.5,80.25,77.25,78.0,0
90.0,79.5,76.5,75.0,0
92.25,81.75,79.5,81.0,0
93.0,81.0,78.75,78.75,0
91.5,80.25,78.75,76.5,0
92.25,81.0,78.0,77.25,0
90.0,79.5,78.0,78.0,0
